Event No A,Drone A,Event A,Event No B,Drone B,Event B,Time
2,10,18,8,1,4,5.539996
7,19,37,12,9,12,7.479994
3,16,30,4,13,26,11.62008
16,5,11,19,3,28,15.74017
0,4,9,5,8,17,17.0002
21,8,3,23,6,15,36.80065
30,16,27,32,15,39,39.1207
34,10,2,37,11,10,42.12077
27,13,35,26,7,32,42.90079
42,2,13,43,1,37,54.02105
40,4,9,41,6,14,54.32105
48,19,4,52,9,35,59.18116
57,12,2,55,11,16,63.56126
47,7,1,50,5,3,66.58084
51,16,12,54,3,7,67.86063
60,6,24,59,17,0,71.52001
66,13,22,70,3,39,84.05791
75,16,21,74,12,37,95.49599
90,14,23,91,3,27,114.0129
99,2,14,93,12,13,116.3925
100,4,33,94,16,21,123.4313
101,6,28,97,18,34,124.931
104,5,29,103,17,11,129.1508
95,10,6,98,15,2,129.2108
114,2,25,113,12,12,139.8331
121,8,39,116,19,17,146.7145
117,16,21,118,15,13,147.1346
126,7,0,125,17,9,154.4562
128,13,11,130,3,3,158.9771
131,9,20,133,12,26,177.261

