eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum
0,0,4,1,6,2,31,5,0,-1
1,1,4,2,4,2,38,1,0,3
2,2,5,2,0,2,40,4,2,-1
3,3,4,2,5,2,42,6,2,1
4,4,7,2,8,0,43,9,2,-1
5,5,1,0,8,3,30,7,0,-1
6,6,3,1,6,1,34,3,1,8
7,7,6,1,0,1,36,4,2,-1
8,8,3,1,5,3,37,0,2,6
9,9,6,2,3,2,47,8,0,14
10,10,2,1,4,1,39,9,2,-1
11,11,7,2,3,0,50,4,2,-1
12,12,0,0,1,2,32,9,0,-1
13,13,8,0,3,0,33,5,2,-1
14,14,6,1,9,2,44,2,2,9
15,15,1,0,2,1,35,7,2,-1
16,16,6,2,5,2,53,4,2,-1
17,17,1,1,6,2,45,3,1,-1
18,18,4,2,8,3,54,0,2,-1
19,19,4,1,3,2,49,2,0,21
20,20,8,0,8,2,41,5,2,-1
21,21,4,1,4,1,51,7,2,19
22,22,2,2,4,3,56,9,1,-1
23,23,9,2,6,0,57,7,2,-1
24,24,5,1,6,0,52,8,1,-1
25,25,3,2,7,0,58,6,1,-1
26,26,9,0,6,1,46,1,2,-1
27,27,0,0,9,0,48,3,2,-1
28,28,0,2,1,1,59,8,2,-1
29,29,6,1,1,2,55,6,2,-1
30,5,7,0,5,2,60,4,1,-1
31,0,5,0,2,2,61,2,2,-1
32,12,9,0,5,3,62,7,2,-1
33,13,5,2,2,2,67,6,0,-1
34,6,3,1,6,1,64,3,0,-1
35,15,7,2,5,1,68,0,2,-1
36,7,4,2,3,0,69,1,2,2
37,8,0,2,4,1,70,1,0,-1
38,1,1,0,6,3,63,5,1,-1
39,10,9,2,6,0,72,8,0,4
40,2,4,2,5,1,73,4,2,7
41,20,5,2,0,1,74,5,1,-1
42,3,6,2,0,0,75,1,1,-1
43,4,9,2,5,2,76,7,0,10
44,14,2,2,0,0,77,0,2,-1
45,17,3,1,4,2,71,3,0,-1
46,26,1,2,4,1,79,2,0,-1
47,9,8,0,4,2,65,5,1,-1
48,27,3,2,6,1,80,1,2,-1
49,19,2,0,2,2,66,5,0,-1
50,11,4,2,4,2,81,9,2,-1
51,21,7,2,9,0,82,9,1,-1
52,24,8,1,0,3,78,3,1,-1
53,16,4,2,8,3,84,2,1,-1
54,18,0,2,5,1,86,8,0,-1
55,29,6,2,4,0,87,5,1,25
56,22,9,1,4,0,83,7,1,-1
57,23,7,2,8,2,88,5,2,-1
58,25,6,1,5,1,85,3,2,29
59,28,8,2,7,2,89,9,1,-1
60,5,4,1,6,2,90,4,2,-1
61,0,2,2,9,3,92,6,0,-1
62,12,7,2,3,0,95,1,1,-1
63,1,5,1,6,1,93,7,1,19
64,6,3,0,9,3,91,4,0,-1
65,9,5,1,8,0,99,9,0,-1
66,19,5,0,9,2,94,0,0,1
67,13,6,0,1,3,96,8,0,-1
68,15,0,2,3,1,106,7,2,-1
69,7,1,2,2,3,107,2,0,3
70,8,1,0,2,3,97,7,2,-1
71,17,3,0,4,3,98,4,0,-1
72,10,8,0,9,2,100,0,1,-1
73,2,4,2,2,3,109,3,0,-1
74,20,5,1,9,0,103,0,1,-1
75,3,1,1,7,3,104,8,2,7
76,4,7,0,8,0,101,3,0,-1
77,14,0,2,9,3,112,4,1,-1
78,24,3,1,7,2,105,6,1,-1
79,26,2,0,5,1,102,2,1,-1
80,27,1,2,6,3,114,0,1,-1
81,11,9,2,2,2,115,9,2,-1
82,21,9,1,7,3,110,7,0,-1
83,22,7,1,0,3,111,8,2,-1
84,16,2,1,4,3,113,5,2,-1
85,25,3,2,4,1,117,4,2,-1
86,18,8,0,3,2,108,5,2,-1
87,29,5,1,4,2,116,5,0,-1
88,23,5,2,6,2,119,7,2,-1
89,28,9,1,3,2,118,4,1,-1
90,5,4,2,2,3,124,5,1,17
91,6,4,0,3,3,120,3,1,-1
92,0,6,0,2,3,121,7,0,-1
93,1,7,1,8,1,127,8,1,-1
94,19,0,0,0,3,122,9,1,-1
95,12,1,1,4,1,128,5,1,-1
96,13,8,0,8,0,123,6,2,-1
97,8,7,2,2,1,132,7,1,-1
98,17,4,0,0,2,125,4,0,5
99,9,9,0,8,1,126,9,2,-1
100,10,0,1,4,3,130,4,1,-1
101,4,3,0,3,0,129,7,2,-1
102,26,2,1,3,1,133,6,0,7
103,20,0,1,5,0,135,2,2,-1
104,3,8,2,2,3,139,1,0,-1
105,24,6,1,5,2,137,8,2,-1
106,15,7,2,6,2,141,6,1,-1
107,7,2,0,9,3,131,2,1,26
108,18,5,2,4,2,143,2,2,-1
109,2,3,0,8,1,134,5,0,-1
110,21,7,0,1,0,136,4,2,-1
111,22,8,2,7,3,144,5,1,-1
112,14,4,1,4,2,140,7,1,-1
113,16,5,2,0,1,145,3,2,-1
114,27,0,1,7,2,142,4,2,-1
115,11,9,2,7,0,147,0,0,-1
116,29,5,0,1,1,138,1,0,-1
117,25,4,2,4,2,148,4,1,-1
118,28,4,1,3,1,146,5,2,-1
119,23,7,2,2,0,150,4,0,0
120,6,3,1,5,0,151,6,1,-1
121,0,7,0,3,3,149,0,2,23
122,19,9,1,3,1,153,8,0,-1
123,13,6,2,8,3,157,6,0,-1
124,5,5,1,3,2,154,6,2,-1
125,17,4,0,6,1,152,3,2,-1
126,9,9,2,4,1,159,8,1,-1
127,1,8,1,9,3,155,1,0,-1
128,12,5,1,7,3,156,3,2,-1
129,4,7,2,7,1,162,6,1,8
130,10,4,1,8,2,160,8,1,-1
131,7,2,1,1,2,163,7,1,-1
132,8,7,1,8,3,164,3,1,4
133,26,6,0,5,1,158,1,0,-1
134,2,5,0,7,2,161,7,0,-1
135,20,2,2,8,0,167,9,1,-1
136,21,4,2,8,0,168,8,1,-1
137,24,8,2,9,0,170,7,1,-1
138,29,1,0,5,1,165,4,1,3
139,3,1,0,9,0,166,5,0,29
140,14,7,1,7,2,169,1,1,-1
141,15,6,1,3,3,171,8,2,-1
142,27,4,2,0,3,174,1,2,-1
143,18,2,2,6,1,175,1,1,-1
144,22,5,1,5,2,173,5,2,-1
145,16,3,2,8,2,177,0,2,-1
146,28,5,2,7,1,179,9,0,-1
147,11,0,0,4,2,172,1,1,-1
148,25,4,1,4,0,178,6,0,23
149,0,0,2,9,3,182,2,2,-1
150,23,4,0,2,3,176,2,2,25
151,6,6,1,6,3,181,9,0,-1
152,17,3,2,1,3,185,9,2,-1
153,19,8,0,7,1,180,3,0,-1
154,5,6,2,7,1,188,6,0,-1
155,1,1,0,2,3,183,8,2,-1
156,12,3,2,5,1,192,7,0,-1
157,13,6,0,7,1,184,2,0,-1
158,26,1,0,5,1,186,9,1,-1
159,9,8,1,9,3,189,1,1,10
160,10,8,1,4,3,190,3,2,9
161,2,7,0,1,2,187,5,1,-1
162,4,6,1,0,2,193,8,0,-1
163,7,7,1,3,3,194,5,1,-1
164,8,3,1,3,3,195,1,0,-1
165,29,4,1,7,1,196,8,0,-1
166,3,5,0,5,3,191,0,1,-1
167,20,9,1,2,2,197,3,1,-1
168,21,8,1,4,2,198,4,2,-1
169,14,1,1,6,0,199,8,1,-1
170,24,7,1,7,2,200,6,0,-1
171,15,8,2,1,3,202,1,2,-1
172,11,1,1,2,3,201,0,0,-1
173,22,5,2,5,0,206,1,1,-1
174,27,1,2,3,0,208,4,1,-1
175,18,1,1,7,0,204,9,0,-1
176,23,2,2,0,1,210,8,1,-1
177,16,0,2,4,2,211,6,1,-1
178,25,6,0,7,1,203,6,1,-1
179,28,9,0,9,0,205,5,2,-1
180,19,3,0,8,0,207,6,1,-1
181,6,9,0,1,1,209,2,1,-1
182,0,2,2,7,2,215,9,2,-1
183,1,8,2,2,1,216,9,1,-1
184,13,2,0,8,2,212,9,0,-1
185,17,9,2,3,3,221,5,2,-1
186,26,9,1,4,0,214,7,2,-1
187,2,5,1,0,3,217,1,0,-1
188,5,6,0,0,1,213,2,0,-1
189,9,1,1,8,3,222,7,2,8
190,10,3,2,1,2,226,3,1,-1
191,3,0,1,5,1,224,8,0,-1
192,12,7,0,8,2,218,4,2,-1
