eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum,collidesAtPos,collidesAtTime,collidesWithEvent
0,0,7,1,7,3,11,3,2,-2,-2,-2,-2
1,1,8,0,7,1,10,8,1,-2,-2,-2,-2
2,2,0,2,5,1,15,0,1,4,[25.70368621 19.29147644 23.19187294],4.0636281430895895,4
3,3,1,1,1,2,12,5,2,5,[23.89679741 13.71067635 45.6642919 ],-23.476414018764256,5
4,4,0,1,4,3,13,8,1,2,[26.49407002 19.08781889 22.39710616],4.0636281430895895,2
5,5,5,1,9,2,14,5,1,3,[23.90068438 13.70594654 45.68477394],-23.476414018764256,3
6,6,6,2,3,1,16,7,2,-2,-2,-2,-2
7,7,9,2,1,3,19,0,0,-2,-2,-2,-2
8,8,2,2,6,3,18,5,2,-2,-2,-2,-2
9,9,0,1,3,3,17,4,2,-2,-2,-2,-2
10,1,8,1,4,3,20,1,0,-2,-2,-2,-2
11,0,3,2,2,0,21,4,2,-2,-2,-2,-2
12,3,5,2,9,0,23,7,1,5,[14.07767436 19.14280253 23.63480067],29.49984857688221,14
13,4,8,1,0,0,26,8,0,2,[18.0915998  19.82081397 10.96485514],49.07839095613126,15
14,5,5,1,4,1,22,3,0,3,[14.21715737 18.77061154 24.48298537],29.49984857688221,12
15,2,0,1,6,0,24,4,0,4,[18.19172895 19.89666694  9.80169012],49.07839095613126,13
16,6,7,2,9,0,25,7,2,9,[11.60617101 18.34660146 37.27228492],20.744173849307934,17
17,9,4,2,0,1,27,1,1,6,[11.72887731 17.43960107 37.16171855],20.744173849307934,16
18,8,5,2,4,2,28,1,1,-2,-2,-2,-2
19,7,0,0,3,3,29,6,2,-2,-2,-2,-2
20,1,1,0,0,2,30,0,2,-2,-2,-2,-2
21,0,4,2,3,1,31,4,0,5,[17.83834239 20.04686664 17.49349575],61.24769324093097,22
22,5,3,0,7,2,32,1,0,0,[17.63779898 20.00030818 16.49778551],61.24769324093097,21
23,3,7,1,2,0,34,4,2,2,[15.26934468 19.67442134 13.20970838],68.84428874916803,24
24,2,4,0,6,2,33,1,2,3,[15.51718826 20.76888331 13.55885025],68.84428874916803,23
25,6,7,2,4,0,37,6,0,-2,-2,-2,-2
26,4,8,0,7,0,35,4,0,-2,-2,-2,-2
27,9,1,1,8,3,39,4,0,8,[23.98147237 19.12748741 22.27068496],65.45898139231741,28
28,8,1,1,2,1,36,5,1,9,[24.13885971 19.03860838 22.67303456],65.45898139231741,27
29,7,6,2,6,0,38,7,1,-2,-2,-2,-2
30,1,0,2,7,1,42,3,0,5,[23.77368363 19.60044942 20.86109795],79.61027907331551,32
31,0,4,0,8,2,41,5,2,-2,-2,-2,-2
32,5,1,0,0,0,40,0,2,1,[23.9110899  18.96018778 21.561541  ],79.61027907331551,30
33,2,1,2,1,1,44,7,0,4,[24.30584268 22.04484688  2.42149043],109.29054634587962,35
34,3,4,2,7,0,46,8,2,6,[10.81035626 20.39690323  2.15432404],111.30984860248233,37
35,4,4,0,1,1,43,6,1,2,[24.49512347 22.1860639   1.47638272],109.29054634587962,33
36,8,5,1,9,0,47,7,1,-2,-2,-2,-2
37,6,6,0,7,0,45,3,2,3,[10.7325524  20.42708809  1.69861448],111.30984860248233,34
38,7,7,1,9,0,49,4,0,-2,-2,-2,-2
39,9,4,0,6,1,48,7,2,-2,-2,-2,-2
40,5,0,2,6,1,53,1,0,-2,-2,-2,-2
41,0,5,2,6,3,50,8,1,-2,-2,-2,-2
42,1,3,0,9,2,51,8,0,-2,-2,-2,-2
43,4,6,1,7,2,54,2,0,2,[11.38978372 21.59114023 11.53859007],122.87248869040705,44
44,2,7,0,6,2,52,5,1,4,[11.48794007 21.6206107  10.30195111],122.87248869040705,43
45,6,3,2,3,0,55,6,2,-2,-2,-2,-2
46,3,8,2,2,0,58,4,0,8,[10.82372947 19.39052783 19.39171432],120.45045301107713,47
47,8,7,1,4,1,57,6,0,3,[10.86239853 19.51765778 19.43771343],120.45045301107713,46
48,9,7,2,7,3,59,1,2,-2,-2,-2,-2
49,7,4,0,2,2,56,6,0,-2,-2,-2,-2
50,0,8,1,3,2,64,0,1,2,[12.1723192  20.91654115 14.45988597],143.7322645949575,52
51,1,8,0,9,1,60,9,0,-2,-2,-2,-2
52,2,5,1,8,3,63,9,0,0,[12.22589015 21.51878491 14.64976318],143.7322645949575,50
53,5,1,0,0,3,61,6,2,4,[23.51555986 17.49627233 24.48185949],129.49230153653806,54
54,4,2,0,5,2,62,5,2,5,[23.48165704 17.77433048 25.0096461 ],129.49230153653806,53
55,6,6,2,0,0,68,9,2,3,[15.97308549 19.42903841 18.73209772],147.94059781520747,58
56,7,6,0,0,2,67,5,1,8,[12.32919661 19.14183709 19.78047169],142.74400788849877,57
57,8,6,0,5,0,65,0,1,7,[12.05650885 19.04669764 20.39013291],142.74400788849877,56
58,3,4,0,7,3,66,4,1,6,[16.16583762 19.85539176 17.84293537],147.94059781520747,55
59,9,1,2,6,0,69,8,0,-2,-2,-2,-2
60,1,9,0,0,0,-1,-1,-1,-2,-2,-2,-2
61,5,6,2,6,0,-1,-1,-1,2,[12.60297329 19.80072357 12.36580323],171.87000813871833,63
62,4,5,2,4,1,-1,-1,-1,-2,-2,-2,-2
63,2,9,0,1,0,-1,-1,-1,5,[12.19909701 19.57445738 13.24387152],171.87000813871833,61
64,0,0,1,8,3,-1,-1,-1,-2,-2,-2,-2
65,8,0,1,9,0,-1,-1,-1,-2,-2,-2,-2
66,3,4,1,9,3,-1,-1,-1,7,[15.56549973 19.88571555 19.85425733],172.68498598161693,67
67,7,5,1,1,0,-1,-1,-1,3,[15.43623334 19.19769842 20.52000137],172.68498598161693,66
68,6,9,2,7,1,-1,-1,-1,9,[ 5.4330804  19.34119351 22.81682623],174.05343273054385,69
69,9,8,0,5,2,-1,-1,-1,6,[ 6.24973199 18.43674933 22.47663919],174.05343273054385,68
