eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum,collidesAtPos,collidesAtTime,collidesWithEvent
0,0,4,2,7,2,11,4,1,2,[14.25610299 21.11595007 14.96101373],11.600159019079022,2
1,1,9,0,0,0,16,8,2,6,[26.31032322 20.39395447  2.14726848],32.029202014176036,6
2,2,6,1,4,2,10,3,1,0,[14.2675538  20.95482852 14.29408566],11.600159019079022,0
3,3,5,2,7,1,12,1,2,-2,-2,-2,-2
4,4,1,1,8,1,17,6,2,7,[16.43595415 20.56516594 12.36323359],18.18170379187553,7
5,5,8,2,9,2,13,6,1,-2,-2,-2,-2
6,6,1,2,0,0,14,9,1,1,[26.60602676 20.42964415  1.59353119],32.029202014176036,1
7,7,6,1,2,0,15,0,0,4,[16.49404979 19.66166362 13.40534134],18.18170379187553,4
8,8,6,2,7,2,19,4,0,-2,-2,-2,-2
9,9,4,1,6,3,18,5,0,-2,-2,-2,-2
10,2,3,1,7,0,20,8,0,0,[18.00669484 19.27653191 19.31113172],31.608000793910136,11
11,0,4,1,1,3,21,8,0,2,[17.8091267  19.84953592 19.96955964],31.608000793910136,10
12,3,1,2,7,0,27,9,2,7,[28.07573683 18.67563102 31.63660364],21.94821213419487,15
13,5,6,1,1,3,26,6,2,-2,-2,-2,-2
14,6,9,1,2,1,29,2,2,4,[13.89108408 20.66334402 11.70017544],48.97713141719504,17
15,7,0,0,1,0,22,6,2,3,[27.82796324 18.27640309 30.82049673],21.94821213419487,12
16,1,8,2,7,1,25,7,2,-2,-2,-2,-2
17,4,6,2,5,2,28,1,1,6,[13.8538586  21.68254372 12.22042249],48.97713141719504,14
18,9,5,0,2,0,24,3,1,8,[17.92318044 19.67708329 11.85424004],44.833109002007525,19
19,8,4,0,3,1,23,9,1,9,[18.18473606 20.41304579 12.05001375],44.833109002007525,18
20,2,8,0,0,2,33,5,1,0,[ 7.7190053  19.1711349  19.66844055],54.86490854237237,21
21,0,8,0,5,3,30,8,2,2,[ 7.10132926 18.89811994 20.53684518],54.86490854237237,20
22,7,6,2,4,2,31,5,0,9,[14.5386113  21.19204796 14.59293126],67.981545486623,24
23,8,9,1,5,0,32,4,0,-2,-2,-2,-2
24,9,3,1,9,1,34,1,1,7,[14.74825925 20.13245339 15.28561296],67.981545486623,22
25,1,7,2,5,0,36,7,0,4,[14.58087364 20.24397984  4.7736251 ],84.69450116583863,28
26,5,6,2,3,3,38,5,1,-2,-2,-2,-2
27,3,9,2,8,1,35,1,2,-2,-2,-2,-2
28,4,1,1,6,0,37,7,2,1,[14.59083548 20.21955076  4.85043809],84.69450116583863,25
29,6,2,2,7,1,39,5,0,-2,-2,-2,-2
30,0,8,2,9,0,40,5,2,2,[ 7.72250347 18.5714237  33.42148659],70.72202269924557,33
31,7,5,0,2,1,41,8,1,8,[15.80850052 19.59313606 16.93965531],88.17952873233395,32
32,8,4,0,8,2,42,6,0,7,[15.84733323 19.67299261 17.74939937],88.17952873233395,31
33,2,5,1,0,1,44,1,0,0,[ 7.7200221  17.35913344 34.01558249],70.72202269924557,30
34,9,1,1,5,3,45,4,2,1,[15.50405148 25.33966336  2.47285264],112.53815471115013,36
35,3,1,2,1,1,47,8,1,-2,-2,-2,-2
36,1,7,0,5,3,43,4,0,9,[15.44072458 25.70790323  1.37306994],112.53815471115013,34
37,4,7,2,0,1,49,2,0,-2,-2,-2,-2
38,5,5,1,7,0,46,3,1,6,[14.16847955 19.19551687 20.55345431],93.43173417868853,39
39,6,5,0,3,0,48,6,2,5,[14.1289782  18.97377273 21.37759059],93.43173417868853,38
40,0,5,2,3,1,51,4,1,1,[19.82568338 22.1305554   1.77493784],134.00287590011416,43
41,7,8,1,4,0,50,7,1,-2,-2,-2,-2
42,8,6,0,1,2,53,4,2,-2,-2,-2,-2
43,1,4,0,3,1,52,6,2,0,[19.76520302 22.08378665  2.08632681],134.00287590011416,40
44,2,1,0,5,1,54,7,1,-2,-2,-2,-2
45,9,4,2,1,3,56,0,2,5,[18.32515761 20.29885624 20.4802472 ],120.16628895889679,46
46,5,3,1,6,3,55,6,0,9,[18.30658155 20.10267667 19.16281523],120.16628895889679,45
47,3,8,1,1,2,58,6,2,6,[13.71351113 20.85562743 14.72366785],128.20548926991603,48
48,6,6,2,5,1,57,1,1,3,[13.39903228 20.30775831 15.52542788],128.20548926991603,47
49,4,2,0,8,0,59,6,2,-2,-2,-2,-2
50,7,7,1,0,3,63,9,1,0,[13.868476   20.65814648 17.39256628],142.77828616670578,51
51,0,4,1,9,2,60,7,1,7,[13.94826357 20.38789449 16.74914695],142.77828616670578,50
52,1,6,2,6,3,62,3,1,-2,-2,-2,-2
53,8,4,2,4,0,61,7,0,-2,-2,-2,-2
54,2,7,1,1,0,65,6,1,5,[13.09447885 19.38173348 17.69792139],144.878909119948,55
55,5,6,0,2,2,64,8,1,2,[13.01564444 19.50101842 18.40700716],144.878909119948,54
56,9,0,2,8,2,68,1,2,-2,-2,-2,-2
57,6,1,1,6,2,66,9,1,-2,-2,-2,-2
