eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum,collidesAtPos,collidesAtTime,collidesWithEvent
0,0,7,0,9,0,10,0,1,1,[ 9.63134408 19.10454889 19.60678366],0.49999999999999795,1
1,1,7,0,3,2,13,0,2,0,[ 9.50296609 18.97173393 20.43092493],0.49999999999999795,0
2,2,1,0,2,2,11,2,2,-2,-2,-2,-2
3,3,5,0,3,1,12,3,1,-2,-2,-2,-2
4,4,7,2,5,2,15,2,1,-2,-2,-2,-2
5,5,8,2,0,3,19,6,0,9,[21.61718771 23.85390496  7.82524561],30.267558858700102,9
6,6,0,1,4,3,16,8,1,8,[25.03658638 20.13201242 19.06932399],10.263677067454042,8
7,7,1,0,4,1,14,9,1,-2,-2,-2,-2
8,8,0,0,9,2,18,4,1,6,[25.0191695  19.42163232 18.71056971],10.263677067454042,6
9,9,5,2,1,2,17,9,1,5,[21.90559872 22.64681563  7.55627715],30.267558858700102,5
10,0,0,1,0,1,20,2,0,-2,-2,-2,-2
11,2,2,2,4,3,22,7,1,-2,-2,-2,-2
12,3,3,1,6,0,21,7,0,-2,-2,-2,-2
13,1,0,2,8,3,24,0,2,7,[14.77059248 23.26690015  9.91482226],47.911717679700466,14
14,7,9,1,2,3,25,5,0,1,[14.76524757 22.77277304 10.65337821],47.911717679700466,13
15,4,2,1,3,1,23,1,1,-2,-2,-2,-2
16,6,8,1,3,3,26,4,2,-2,-2,-2,-2
17,9,9,1,5,3,29,1,2,8,[15.06167012 25.38046096  2.34283315],64.83928829655899,18
18,8,4,1,5,3,28,7,1,9,[15.23334563 25.65335318  1.473142  ],64.83928829655899,17
19,5,6,0,8,2,27,5,0,-2,-2,-2,-2
20,0,2,0,9,3,31,0,2,3,[12.44057324 22.9281013   9.19585916],63.36324018502615,21
21,3,7,0,5,3,30,0,2,0,[12.68768337 22.51658922 10.3539173 ],63.36324018502615,20
22,2,7,1,5,1,32,6,0,-2,-2,-2,-2
23,4,1,1,6,3,33,6,2,-2,-2,-2,-2
24,1,0,2,0,0,36,3,1,6,[26.4550076  17.55280728 50.86854349],32.17636961119864,26
