eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum,collidesAtPos,collidesAtTime,collidesWithEvent
0,0,8,1,5,1,10,6,2,-2,-2,-2,-2
1,1,0,0,7,3,13,3,2,5,[22.74453371 20.61211383 15.71340332],7.609160070731422,5
2,2,9,1,8,2,11,5,1,-2,-2,-2,-2
3,3,2,2,7,0,15,8,1,4,[21.52218315 19.09566625 24.44215995],3.5000000000000053,4
4,4,2,2,2,2,14,7,0,3,[21.70973106 18.98090232 25.28815591],3.5000000000000053,3
5,5,2,0,6,3,12,3,0,1,[20.74753614 19.78826793 18.03183212],7.609160070731422,1
6,6,9,2,6,1,17,7,1,7,[12.34434664 21.8601492   3.8147797 ],30.977225331329848,7
7,7,1,1,7,1,19,0,2,6,[12.42675907 21.72888846  4.50388535],30.977225331329848,6
8,8,5,1,3,3,16,5,2,9,[14.62333657 19.20284694 22.03051866],8.499999999999998,9
9,9,5,1,2,3,18,3,0,8,[14.36736045 18.9448529  22.85273017],8.499999999999998,8
10,0,6,2,1,3,23,4,2,-2,-2,-2,-2
11,2,5,1,6,0,20,6,1,-2,-2,-2,-2
12,5,3,0,8,3,22,1,1,-2,-2,-2,-2
13,1,3,2,3,3,25,5,2,9,[19.54059235 22.1214035  13.99247717],42.82486233009888,18
14,4,7,0,5,1,21,0,1,-2,-2,-2,-2
15,3,8,1,7,1,24,7,2,-2,-2,-2,-2
16,8,5,2,2,1,28,6,0,-2,-2,-2,-2
17,6,7,1,5,0,26,6,2,-2,-2,-2,-2
18,9,3,0,7,3,27,8,0,1,[16.81053167 20.95512962 14.74810424],42.82486233009888,13
19,7,0,2,3,3,29,7,1,-2,-2,-2,-2
20,2,6,1,0,2,32,2,0,5,[ 4.77508485 16.66558464 32.86830415],37.558567330888266,22
21,4,0,1,2,0,30,9,2,-2,-2,-2,-2
22,5,1,1,0,2,31,1,0,2,[22.16352223 15.30178162 38.77414116],37.558567330888266,20
23,0,4,2,6,3,34,0,1,1,[17.50778992 18.09687672 28.3186923 ],53.67364556987968,25
24,3,7,2,6,1,33,8,1,9,[11.16192968 20.40547865 14.7882627 ],69.34952665157269,27
25,1,5,2,1,0,35,6,2,0,[12.84136581 18.8431971  28.76649979],53.67364556987968,23
26,6,6,2,4,3,36,1,2,-2,-2,-2,-2
27,9,8,0,1,0,37,8,1,3,[12.42594066 19.47431613 14.59985897],69.34952665157269,24
28,8,6,0,0,3,39,7,1,-2,-2,-2,-2
29,7,7,1,4,0,38,6,0,-2,-2,-2,-2
30,4,9,2,0,0,46,6,2,6,[18.43332283 19.90723148 10.54151536],101.59592633246211,36
31,5,1,0,9,1,42,9,2,2,[19.02866624 19.93611976 14.89422604],89.62799957896878,32
32,2,2,0,3,1,40,5,0,5,[21.00187836 20.19857749 13.32902421],89.62799957896878,31
33,3,8,1,4,2,43,4,1,-2,-2,-2,-2
34,0,0,1,0,0,41,8,2,-2,-2,-2,-2
35,1,6,2,0,1,49,5,1,-2,-2,-2,-2
36,6,1,2,1,0,45,2,1,4,[24.21183573 19.73244624 13.53527044],101.59592633246211,30
37,9,8,1,5,2,47,3,2,8,[ 9.07732913 20.12111039 17.90443357],95.88340396987873,39
38,7,6,0,9,3,44,3,0,-2,-2,-2,-2
39,8,7,1,9,3,48,7,1,9,[ 9.06242492 20.27925787 18.60006154],95.88340396987873,37
40,2,5,0,2,2,50,5,0,-2,-2,-2,-2
41,0,8,2,2,1,55,3,0,6,[20.27270231 21.74353568  4.6944679 ],137.5015018758302,45
42,5,9,2,6,3,54,3,2,-2,-2,-2,-2
43,3,4,1,3,3,52,0,1,7,[17.98936615 21.47621929 14.78541728],122.24667496370151,44
44,7,3,0,6,1,51,5,1,3,[17.3010442  20.04278113 14.25813668],122.24667496370151,43
45,6,2,1,3,1,53,8,1,0,[19.94172977 21.8706858   3.54623892],137.5015018758302,41
46,4,6,2,7,1,56,5,2,8,[11.15895015 21.20058994  8.79024465],134.46724491411564,48
47,9,3,2,6,1,58,2,0,1,[17.27372866 20.05594045 17.42504639],125.64604203016003,49
48,8,7,1,4,2,57,1,2,4,[15.11750496 22.34716139  8.26470251],134.46724491411564,46
49,1,5,1,0,3,59,8,2,9,[17.09993747 20.45200919 18.04951346],125.64604203016003,47
50,2,5,0,7,1,60,1,2,-2,-2,-2,-2
51,7,5,1,5,0,61,8,2,-2,-2,-2,-2
52,3,0,1,1,3,62,6,2,-2,-2,-2,-2
53,6,8,1,2,2,67,8,0,5,[ 1.20795016 17.10777131 30.95345107],129.15300548004925,54
54,5,3,2,3,2,64,5,2,6,[19.0951416  16.86214922 35.53648148],129.15300548004925,53
55,0,3,0,4,2,63,7,2,-2,-2,-2,-2
56,4,5,2,7,2,68,7,2,-2,-2,-2,-2
57,8,1,2,1,0,66,9,0,-2,-2,-2,-2
58,9,2,0,7,0,65,5,2,-2,-2,-2,-2
59,1,8,2,3,2,69,7,2,2,[ 5.70777918 18.46108509 27.80249144],145.0329944622982,60
60,2,1,2,6,2,-1,-1,-1,1,[26.34349149 18.12179278 29.44363504],145.0329944622982,59
61,7,8,2,3,1,-1,-1,-1,3,[12.05338526 20.2257513  16.14405766],174.210322255177,62
62,3,6,2,6,2,-1,-1,-1,7,[12.44276053 20.80325321 16.47351617],174.210322255177,61
63,0,7,2,2,0,-1,-1,-1,-2,-2,-2,-2
64,5,5,2,6,2,-1,-1,-1,-2,-2,-2,-2
65,9,5,2,8,2,-1,-1,-1,-2,-2,-2,-2
66,8,9,0,5,1,-1,-1,-1,-2,-2,-2,-2
67,6,8,0,2,0,-1,-1,-1,-2,-2,-2,-2
68,4,7,2,0,0,-1,-1,-1,-2,-2,-2,-2
69,1,7,2,2,0,-1,-1,-1,-2,-2,-2,-2
