eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum,collidesAtPos
0,0,9,2,8,1,39,5,2,1,[ 4.91615 19.072   24.84752]
1,1,9,2,1,2,42,8,0,0,[ 4.89933381 19.01135753 25.14084526]
2,2,1,1,2,3,32,6,1,-2,-2
3,3,9,0,2,1,30,9,1,4,[  16.53675329   30.90620269 -140.19642911]
4,4,8,0,1,1,31,2,0,3,[  17.68460569   30.89037008 -139.98204369]
5,5,4,1,6,1,34,6,1,-2,-2
6,6,1,2,8,0,47,0,2,-2,-2
7,7,6,1,5,1,36,9,1,-2,-2
8,8,0,1,1,1,38,7,2,12,[26.50991895 18.72046925 24.82162769]
9,9,8,1,2,1,40,8,1,-2,-2
10,10,8,2,1,1,48,3,2,-2,-2
11,11,3,0,0,1,33,0,2,-2,-2
12,12,0,1,8,3,43,1,0,8,[26.50680342 18.54470388 26.00868153]
13,13,5,1,1,0,44,8,2,-2,-2
14,14,3,1,2,0,45,3,1,-2,-2
15,15,1,0,7,2,35,0,0,-2,-2
16,16,3,0,4,0,37,7,0,-2,-2
17,17,4,2,7,0,52,9,2,-2,-2
18,18,7,0,1,3,41,9,2,-2,-2
19,19,9,1,6,1,49,4,0,-2,-2
20,20,2,2,8,0,54,4,1,-2,-2
21,21,0,2,8,0,55,0,1,-2,-2
22,22,3,1,2,1,51,6,2,-2,-2
23,23,2,0,5,3,46,5,0,-2,-2
24,24,4,2,2,1,56,3,2,-2,-2
25,25,3,2,2,3,57,4,0,-2,-2
26,26,5,2,7,1,58,3,1,28,[14.26502018 17.49363153 32.48202632]
27,27,1,1,9,1,53,9,1,-2,-2
28,28,5,2,8,3,59,4,2,26,[14.24570251 17.37221857 33.06929604]
29,29,6,0,3,2,50,5,2,-2,-2
30,3,9,1,1,2,61,9,2,-2,-2
31,4,2,0,7,0,60,7,0,-2,-2
32,2,6,1,9,1,65,3,1,5,[11.13267356 15.72937941 45.02233396]
33,11,0,2,5,1,72,7,2,-2,-2
34,5,6,1,8,3,67,5,1,2,[11.0935717  15.59648076 45.91988189]
35,15,0,0,7,0,62,9,2,-2,-2
36,7,9,1,3,0,69,4,2,-2,-2
37,16,7,0,8,1,63,4,1,-2,-2
38,8,7,2,2,3,74,0,0,-2,-2
39,0,5,2,6,2,75,8,1,-2,-2
40,9,8,1,7,3,70,3,1,-2,-2
41,18,9,2,3,3,76,5,1,-2,-2
42,1,8,0,2,3,64,3,1,14,[ 5.68872686 17.21699965 45.16561112]
43,12,1,0,0,3,66,7,1,-2,-2
44,13,8,2,2,2,77,9,0,-2,-2
45,14,3,1,6,2,73,1,1,-2,-2
46,23,5,0,1,1,68,6,1,-2,-2
47,6,0,2,9,2,78,1,2,-2,-2
48,10,3,2,9,1,81,6,1,-2,-2
49,19,4,0,3,1,71,5,2,-2,-2
50,29,5,2,1,2,83,7,2,-2,-2
51,22,6,2,6,1,85,0,0,-2,-2
52,17,9,2,0,3,86,1,2,-2,-2
53,27,9,1,7,2,80,3,0,-2,-2
54,20,4,1,4,0,82,2,2,25,[16.83368146 18.6638556  25.20397517]
55,21,0,1,8,0,84,6,2,-2,-2
56,24,3,2,1,0,88,9,2,-2,-2
57,25,4,0,4,3,79,1,1,20,[16.77127066 18.75620858 24.32357178]
58,26,3,1,1,0,87,6,2,-2,-2
59,28,4,2,1,0,89,2,1,-2,-2
60,4,7,0,8,0,90,3,2,-2,-2
61,3,9,2,7,0,95,8,1,15,[ 2.51159756 10.40071375 66.79019119]
62,15,9,2,2,3,98,6,1,3,[ 2.45903364 10.21115797 67.70706503]
63,16,4,1,4,0,91,5,0,-2,-2
64,1,3,1,0,1,92,8,0,2,[18.28964098 12.4907308  66.89495988]
65,2,3,1,7,2,93,3,2,1,[18.28601335 12.46747296 67.05203471]
66,12,7,1,5,1,94,1,2,-2,-2
67,5,5,1,4,0,96,1,0,-2,-2
68,23,6,1,6,2,97,3,1,-2,-2
69,7,4,2,5,0,103,9,1,-2,-2
70,9,3,1,6,0,100,5,0,-2,-2
71,19,5,2,2,2,107,2,1,18,[14.3216214  17.84937414 30.76131328]
72,11,7,2,2,3,108,2,2,-2,-2
73,14,1,1,5,1,102,2,1,-2,-2
74,8,0,0,5,0,99,6,2,-2,-2
75,0,8,1,8,0,104,4,0,-2,-2
76,18,5,1,8,3,105,9,2,19,[14.21042292 17.83992615 30.7684877 ]
77,13,9,0,7,1,101,7,2,-2,-2
78,6,1,2,4,2,112,5,2,-2,-2
79,25,1,1,3,0,110,4,2,-2,-2
80,27,3,0,1,1,106,9,0,-2,-2
81,10,6,1,2,1,111,2,2,-2,-2
82,20,2,2,4,3,113,3,0,-2,-2
83,29,7,2,8,2,114,4,1,-2,-2
84,21,6,2,5,2,115,5,2,-2,-2
85,22,0,0,6,0,109,2,1,-2,-2
86,17,1,2,2,2,116,9,2,-2,-2
87,26,6,2,0,2,117,2,2,-2,-2
88,24,9,2,5,1,119,8,1,-2,-2
89,28,2,1,9,2,118,3,1,-2,-2
90,4,3,2,9,2,120,8,1,-2,-2
91,16,5,0,3,1,121,4,0,-2,-2
92,1,8,0,8,1,122,6,0,-2,-2
93,2,3,2,9,0,130,2,2,23,[19.17989587 17.70960249 31.43738325]
94,12,1,2,7,1,131,3,1,-2,-2
95,3,8,1,7,3,125,6,0,-2,-2
96,5,1,0,9,1,123,0,2,-2,-2
97,23,3,1,5,3,126,2,1,2,[19.13584602 17.91601503 30.25461174]
98,15,6,1,7,3,127,5,0,-2,-2
99,8,6,2,7,3,134,2,2,-2,-2
100,9,5,0,0,1,124,7,2,-2,-2
101,13,7,2,5,2,137,1,0,-2,-2
102,14,2,1,0,0,132,8,1,-2,-2
103,7,9,1,3,0,133,1,0,22,[ 4.76712422 18.72740942 24.77475637]
104,0,4,0,5,3,128,7,0,-2,-2
105,18,9,2,4,2,138,7,0,-2,-2
106,27,9,0,6,0,129,9,1,-2,-2
107,19,2,1,6,2,135,2,0,22,[20.54814723  8.44329724 94.22981802]
108,11,2,2,3,0,139,1,2,-2,-2
109,22,2,1,2,3,136,7,1,19,[20.53433098  8.31757081 95.0789275 ]
110,25,4,2,0,1,141,2,2,-2,-2
111,10,2,2,7,2,142,1,2,-2,-2
112,6,5,2,6,1,144,9,1,-2,-2
113,20,3,0,5,3,140,6,2,-2,-2
114,29,4,1,8,1,143,2,0,-2,-2
115,21,5,2,4,3,146,2,0,-2,-2
116,17,9,2,8,0,149,6,1,-2,-2
117,26,2,2,6,0,148,7,2,-2,-2
118,28,3,1,1,1,145,8,0,-2,-2
119,24,8,1,7,0,147,4,1,-2,-2
120,4,8,1,5,1,152,3,1,-2,-2
121,16,4,0,2,1,150,7,1,-2,-2
