eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum,collidesAtPos,collidesAtTime,collidesWithEvent
0,0,4,1,5,3,11,4,1,3,[17.19562707 17.97898092 25.93090628],-4.068363050284739,3
1,1,4,2,1,2,13,4,2,-2,-2,-2,-2
2,2,4,1,1,0,12,3,2,-2,-2,-2,-2
3,3,3,0,1,0,10,3,1,0,[17.62998916 18.62022768 26.16485487],-4.068363050284739,0
4,4,6,2,5,0,16,9,2,9,[12.61156467 19.2821764  21.24757845],8.044381710536811,9
5,5,6,1,8,2,14,7,1,6,[10.52250236 21.15429182 13.43032621],15.434122311099875,6
6,6,8,0,5,3,15,5,1,5,[10.56178348 21.6990785  12.65451794],15.434122311099875,5
7,7,5,2,5,1,18,0,0,8,[15.01167883 21.06897099  9.78312808],23.89361577617056,8
8,8,1,0,8,2,19,2,0,7,[14.95170288 21.85074911  9.42193058],23.89361577617056,7
9,9,6,0,9,2,17,0,2,4,[12.37404105 18.86441307 20.84130649],8.044381710536811,4
10,3,3,1,9,2,21,9,2,0,[17.97348265 19.55812907 20.34237799],28.42721391264204,11
11,0,4,1,0,2,20,5,1,3,[17.96538924 19.58695471 20.2175509 ],28.42721391264204,10
12,2,3,2,1,2,22,2,2,-2,-2,-2,-2
13,1,4,2,8,3,26,4,2,-2,-2,-2,-2
14,5,7,1,4,2,24,9,0,-2,-2,-2,-2
15,6,5,1,0,2,25,5,2,-2,-2,-2,-2
16,4,9,2,1,0,29,2,1,-2,-2,-2,-2
17,9,0,2,5,2,28,3,2,-2,-2,-2,-2
18,7,0,0,1,0,23,9,1,-2,-2,-2,-2
19,8,2,0,6,2,27,5,2,-2,-2,-2,-2
20,0,5,1,0,1,30,1,1,-2,-2,-2,-2
21,3,9,2,6,3,32,6,2,7,[ 5.95732926 19.9001735  21.89944874],58.40835580752097,23
22,2,2,2,2,0,31,1,0,-2,-2,-2,-2
23,7,9,1,0,2,39,0,0,3,[ 6.23304429 19.36014484 21.19973243],58.40835580752097,21
24,5,9,0,1,1,34,1,0,-2,-2,-2,-2
25,6,5,2,1,0,36,8,1,1,[19.45903055 19.74727828 13.28122442],73.40812944355753,26
26,1,4,2,2,0,33,4,0,6,[19.61645581 19.77576212 12.7933477 ],73.40812944355753,25
27,8,5,2,6,0,35,3,1,-2,-2,-2,-2
28,9,3,2,6,2,38,1,1,4,[21.3518807  17.54249435 32.24567878],54.300159410645314,29
29,4,2,1,2,2,37,0,2,9,[21.54250366 16.60761072 33.11935545],54.300159410645314,28
30,0,1,1,0,3,41,9,2,2,[24.23010745 19.37098243 21.49468091],82.4736535519892,31
31,2,1,0,4,0,40,9,1,0,[24.39285855 19.01578566 20.80870411],82.4736535519892,30
32,3,6,2,7,1,43,3,1,1,[11.13874809 21.24551462  8.45134987],102.82737369222377,33
33,1,4,0,8,2,44,7,1,3,[11.24267846 22.26217679  7.84868257],102.82737369222377,32
34,5,1,0,0,1,42,2,2,-2,-2,-2,-2
35,8,3,1,3,1,45,9,2,-2,-2,-2,-2
36,6,8,1,2,2,46,5,2,7,[17.15176445 22.23486247  8.75100374],107.8729787567672,39
37,4,0,2,7,2,49,2,1,-2,-2,-2,-2
38,9,1,1,9,0,48,5,0,-2,-2,-2,-2
39,7,0,0,7,3,47,1,2,6,[17.22657884 22.86533313  9.37249843],107.8729787567672,36
